update mean_generation_sp0 mean_fitness_sp0 max_fitness_sp0 mean_generation_sp1 mean_fitness_sp1 max_fitness_sp1 mean_generation_sp2 mean_fitness_sp2 max_fitness_sp2 mean_generation_sp3 mean_fitness_sp3 max_fitness_sp3 mean_generation_sp4 mean_fitness_sp4 max_fitness_sp4 mean_generation_sp5 mean_fitness_sp5 max_fitness_sp5 mean_generation_sp6 mean_fitness_sp6 max_fitness_sp6 mean_generation_sp7 mean_fitness_sp7 max_fitness_sp7 mean_generation_sp8 mean_fitness_sp8 max_fitness_sp8 mean_generation_sp9 mean_fitness_sp9 max_fitness_sp9
16 0.0694 -42.5696 1601.0080 0.4444 -2405.2000 -2009.1117 1.0000 -1058.8061 1016.4597 1.1500 -1109.7122 1436.9847 1.7568 -2287.5294 -257.0610 2.7778 -2547.2005 506.8947 3.4500 -2682.4579 -895.6427 3.8000 -3530.9115 296.3275 3.0750 -2321.1923 -1268.4169 3.1500 -3217.5971 -195.8376
17 0.1125 -105.7839 1652.9747 0.0000 -2009.1117 -2009.1117 0.7333 -1673.6080 1016.4597 1.2778 -1144.9740 1356.0129 1.8293 -2303.8920 -191.1943 2.6552 -2486.3197 506.8947 4.0000 -2774.7315 -895.6427 4.0250 -3622.2851 296.3275 3.3250 -2357.4428 -1268.4169 3.3000 -3327.2458 -195.8376
18 0.0811 -315.9177 2220.9951 1.1667 -2983.1008 -568.5427 0.9000 -1795.0480 -734.3384 1.1538 -1048.0173 1356.0129 1.7436 -2047.5496 -191.1943 2.6486 -2661.1540 506.8947 4.2432 -2742.9044 -895.6427 4.6000 -3655.5909 296.3275 3.6750 -2391.9020 -1268.4169 3.5500 -3476.6444 -195.8376
19 0.0909 -168.2636 2220.9951 1.2000 -2755.6078 -568.5427 0.8750 -2543.4096 -734.3384 0.9750 -1237.7854 1356.0129 1.5676 -1937.8049 236.2544 2.7000 -2634.7456 506.8947 4.3333 -2859.6581 -1267.3081 5.0000 -3692.6499 -895.6427 3.9000 -2421.5914 -1268.4169 3.7500 -3674.5827 -195.8376
20 0.1000 -249.7220 2751.3934 nan nan -179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.0000 1.0000 -2360.2127 -568.5427 1.1481 -1322.6928 1055.1469 1.6750 -1926.7993 236.2544 2.9250 -2872.6236 506.8947 4.5750 -2984.3473 -1313.1986 5.1750 -3747.6493 -895.6427 4.0750 -2438.3972 -1268.4169 3.9500 -3812.7941 -195.8376
21 0.0519 -172.3443 2751.3934 1.0000 -2524.6508 -1947.2122 1.0000 -2631.1918 -568.5427 1.2414 -1346.4055 1055.1469 1.7353 -2019.1778 236.2544 3.2000 -3014.9005 506.8947 4.6750 -3076.9026 -1760.7195 5.3750 -3921.4853 -1942.2930 4.5750 -2537.3454 -1317.8830 4.0250 -3807.4482 -195.8376
22 0.0429 116.7485 3093.0031 0.3077 -2719.0787 -1947.2122 1.0000 -1918.4632 -568.5427 0.9091 -1349.1725 1055.1469 1.8750 -1816.3736 553.0175 3.3750 -3103.5682 506.8947 5.1750 -3181.5645 -1760.7195 5.5750 -3981.8878 -1942.2930 4.8500 -2580.9476 -1724.9843 4.2500 -3848.8857 -195.8376
23 0.0750 -59.9310 2006.3408 1.0000 -2030.7208 -1947.2122 0.4000 -2673.5453 -568.5427 1.0000 -1436.8054 1055.1469 1.8529 -1869.8238 278.2881 3.5750 -3140.2139 506.8947 5.3750 -3281.3254 -1447.2632 5.9250 -4062.6081 -1942.2930 4.9750 -2592.7719 -1724.9843 4.4750 -3880.9663 -195.8376
24 0.1125 -257.5143 2382.0420 1.0000 -2114.2293 -2114.2293 0.7778 -2408.2260 -568.5427 0.7667 -1858.9475 1055.1469 1.8684 -1901.1434 278.2881 3.8571 -2889.3713 506.8947 4.7500 -3267.1636 -1447.2632 6.3750 -4066.4418 -1942.2930 5.2750 -2620.8415 -1724.9843 4.7250 -3927.9905 -195.8376
25 0.0725 -182.5903 2237.7695 0.3636 -1890.2582 318.9471 1.1667 -2239.0766 -568.5427 1.0588 -1901.1242 -734.3384 1.6905 -1949.8021 1055.1469 3.7391 -2628.8699 506.8947 4.7250 -3339.0147 -1447.2632 6.1111 -3692.5270 -1942.2930 5.4000 -2602.6949 -1724.9843 4.8500 -3998.1246 -195.8376
