update mean_generation_sp0 mean_fitness_sp0 max_fitness_sp0 mean_generation_sp1 mean_fitness_sp1 max_fitness_sp1 mean_generation_sp2 mean_fitness_sp2 max_fitness_sp2 mean_generation_sp3 mean_fitness_sp3 max_fitness_sp3 mean_generation_sp4 mean_fitness_sp4 max_fitness_sp4 mean_generation_sp5 mean_fitness_sp5 max_fitness_sp5 mean_generation_sp6 mean_fitness_sp6 max_fitness_sp6 mean_generation_sp7 mean_fitness_sp7 max_fitness_sp7 mean_generation_sp8 mean_fitness_sp8 max_fitness_sp8 mean_generation_sp9 mean_fitness_sp9 max_fitness_sp9
68 0.0750 -231.2036 2089.9901 1.0000 -620.0516 650.0473 0.8824 -1766.4863 -101.8756 1.4074 -1834.6220 -230.2268 1.9355 -2319.5424 707.0872 2.9250 -2866.8477 -282.9732 4.3077 -3010.3540 -1481.4733 4.6750 -3794.5266 -1833.6711 9.9250 -4304.0170 -3139.3903 11.4250 -5249.3997 -4208.1055
69 0.0779 -140.7046 1777.1071 0.0000 -3681.1267 -3681.1267 1.1000 -1460.5881 650.0473 1.0645 -1809.4773 -101.8756 1.9706 -1927.4043 707.0872 3.0500 -2966.3892 -891.3011 4.1034 -3195.4271 -1993.7811 4.7000 -3646.2183 -1481.4733 9.8286 -4213.9812 -3139.3903 11.5500 -5204.4176 -3634.3591
70 0.0441 38.0694 1777.1071 0.5833 -1561.4284 589.8627 0.7500 -2164.1020 650.0473 1.1562 -1683.4587 -101.8756 1.9000 -1996.8283 707.0872 3.3000 -3100.4684 -891.3011 4.1724 -3223.6137 -1993.7811 4.6111 -3699.7873 -1481.4733 9.2250 -4185.7912 -3139.3903 11.8750 -5238.8586 -3134.6566
71 0.0380 48.0562 2059.3787 1.0000 -676.9589 589.8627 0.6250 -2107.8359 650.0473 1.1875 -1682.0360 -101.8756 2.0500 -2180.6202 -844.5799 3.3103 -2889.2887 -891.3011 4.5250 -3361.4631 -1993.7811 4.4286 -3713.7615 -1481.4733 9.5610 -4251.4907 -2864.2472 12.2000 -5276.4959 -3134.6566
72 0.0625 -137.3032 2400.7084 1.0000 -591.6062 589.8627 1.1111 -1327.6879 650.0473 1.0000 -1883.2285 -101.8756 2.0250 -2262.0622 -844.5799 2.9375 -2742.1182 -891.3011 4.7805 -3366.4434 -2044.6266 4.5714 -3675.4113 -1481.4733 9.1026 -4315.7919 -2864.2472 12.5250 -5350.4110 -4208.1055
73 0.0274 -43.4326 1458.1230 0.4286 -2195.5037 -1978.1512 1.0769 -1101.2012 650.0473 1.2308 -1838.3920 -101.8756 2.1463 -2368.4297 -576.3484 2.8621 -2657.6677 -891.3011 5.2683 -3412.5530 -1959.3671 4.7297 -3678.2141 -1481.4733 9.5500 -4452.7897 -3368.3643 12.6750 -5386.7205 -4592.9642
74 0.0519 -119.6021 2134.4958 0.5000 -1997.3069 -1625.7016 0.7857 -1166.2057 650.0473 1.3462 -1869.5055 -101.8756 1.9118 -2266.5027 -576.3484 2.8889 -2836.5297 -891.3011 5.2750 -3392.1443 -1536.7820 4.8500 -3684.7006 -1481.4733 9.1724 -4403.9157 -3455.2558 12.8000 -5384.6947 -4196.7107
75 0.0290 66.3712 2134.4958 0.8000 -1856.4259 270.3939 1.0000 -1137.4158 589.8627 1.2800 -1557.2927 650.0473 1.6250 -1986.9206 -576.3484 3.0750 -2837.1129 -891.3011 5.6500 -3494.6307 -1536.7820 5.9062 -3642.3209 -1481.4733 7.9677 -4218.4513 -3455.2558 13.0000 -5451.7421 -4196.7107
76 0.0506 -184.9714 2165.4922 0.8571 -1088.5128 270.3939 0.9444 -1750.0628 589.8627 1.3214 -1587.0913 650.0473 1.6000 -2037.5456 -576.3484 3.2750 -3104.0329 -891.3011 6.1500 -3518.6710 -1536.7820 5.7143 -3521.9293 -1481.4733 8.0000 -4189.5713 -3455.2558 13.1500 -5471.9870 -4196.7107
77 0.0526 -208.7583 2165.4922 0.7500 -1211.1484 270.3939 0.9444 -1603.9959 589.8627 1.4138 -1699.6725 650.0473 1.5854 -1974.4812 -230.2268 3.5128 -3098.1609 -891.3011 6.7500 -3563.3742 -1475.6965 5.5769 -3480.9298 -1481.4733 8.6098 -4202.5177 -3268.4968 13.3250 -5491.1534 -4196.7107
78 0.0260 -98.0412 2750.8771 1.0000 -1493.7092 -893.1021 0.9412 -1495.6423 589.8627 1.3571 -1645.4345 650.0473 1.5610 -2076.9679 -101.8756 3.6071 -3004.7799 -891.3011 6.1500 -3529.5812 -1475.6965 6.0857 -3637.6738 -1481.4733 8.7750 -4330.5438 -3268.4968 13.3810 -5388.4183 -4000.7889
79 0.0506 -288.4078 1752.4349 1.2500 -1526.1562 -1126.0341 0.8462 -1470.0542 270.3939 1.2941 -1636.0236 650.0473 1.4857 -1953.5166 -101.8756 3.1579 -2977.8461 -891.3011 6.0256 -3550.3549 -1475.6965 6.4750 -3630.8790 -1481.4733 9.3500 -4304.4553 -2893.9405 13.4000 -5457.4798 -4000.7889
80 0.0513 -172.1381 1752.4349 0.4000 -2409.6238 -1470.8132 1.0000 -1470.2702 270.3939 1.2593 -1576.5926 650.0473 1.4000 -1921.9903 -101.8756 3.2000 -2900.1623 -891.3011 5.9714 -3711.2567 -1536.7820 7.0500 -3704.5571 -1481.4733 9.5750 -4316.8056 -2893.9405 13.4500 -5440.6511 -3762.3922
81 0.1250 -283.2368 1752.4349 0.0000 -2902.6811 -1638.5153 1.0000 -1493.7722 270.3939 1.2414 -1566.8216 650.0473 1.7143 -1975.4620 -726.9765 2.6389 -2967.1703 -891.3011 5.5250 -3649.7948 -1536.7820 7.0811 -3776.8261 -1481.4733 9.5250 -4237.8192 -2690.4420 13.6750 -5430.3925 -3762.3922
82 0.1351 -141.7231 2290.1378 0.6667 -2880.0337 -2018.7034 0.8571 -1615.0755 270.3939 1.2424 -1578.6390 650.0473 1.6053 -1899.7898 -726.9765 2.5000 -2946.9914 -891.3011 5.5750 -3685.6949 -1536.7820 7.2750 -3752.0518 -1481.4733 9.6000 -4219.6656 -2690.4420 13.7500 -5483.6288 -3762.3922
83 0.0986 36.8200 2728.7079 1.1000 -2603.1991 -2018.7034 0.7500 -2088.7159 270.3939 1.3103 -1480.9657 650.0473 1.6250 -2086.9648 -796.0761 2.4500 -3021.2794 -891.3011 5.3235 -3601.0250 -2241.3225 7.6000 -3949.9620 -2698.6283 9.5333 -4263.7016 -2893.9405 13.7561 -5387.3458 -3401.8464
84 0.0135 -137.8105 2728.7079 1.4286 -1730.1769 -742.8701 1.0000 -2484.0956 -893.1021 1.2857 -1491.5445 589.8627 1.5556 -1975.4739 650.0473 2.7647 -2677.0305 -1291.3474 5.0250 -3577.4212 -2241.3225 8.1000 -4010.2623 -2698.6283 9.5667 -4324.1083 -2893.9405 14.0000 -5372.4328 -3401.8464
85 0.0500 -231.5189 2039.5364 1.2000 -1725.1517 -742.8701 1.4706 -2208.7357 -1126.0341 1.0526 -1863.8923 589.8627 1.5676 -1800.2496 650.0473 2.6750 -2699.1924 -1291.3474 5.2667 -3531.0664 -2241.3225 8.0732 -4052.8874 -2254.0134 9.7576 -4330.6285 -2893.9405 14.1000 -5424.6894 -3762.3922
86 0.0667 -60.6580 1800.0844 0.3333 -1586.5957 -742.8701 1.3333 -2085.5290 -1052.4768 1.1000 -2313.2452 589.8627 1.5263 -1747.6285 650.0473 2.9024 -2791.8964 -1018.8518 5.0345 -3438.2274 -2241.3225 8.1750 -4049.4081 -2254.0134 9.8889 -4361.6319 -2893.9405 14.2500 -5376.6647 -3762.3922
87 0.0658 0.1204 2283.3284 0.1667 -1735.0550 -774.5467 1.1538 -1901.0571 -742.8701 1.3793 -2239.4651 270.3939 1.6000 -1725.7823 650.0473 2.9750 -2929.5735 -1018.8518 4.6667 -3357.6350 -2241.3225 8.1750 -4127.1831 -2254.0134 10.0256 -4393.0762 -2893.9405 14.4750 -5381.1721 -3762.3922
88 0.0135 -28.4056 2465.0579 1.0000 -1827.8523 -774.5467 0.8000 -1958.9301 -742.8701 1.4074 -2132.7899 270.3939 1.7500 -1833.9301 650.0473 2.6774 -2899.2648 -1018.8518 4.7250 -3355.0664 -1610.3601 8.2250 -4108.9733 -2254.0134 10.1500 -4559.4811 -3021.2028 14.7500 -5402.3083 -3762.3922
89 0.1000 -178.2428 2134.0743 2.0000 -1659.3667 -1659.3667 1.0833 -1820.2847 -742.8701 1.2500 -2208.4462 270.3939 1.7812 -1783.9802 650.0473 2.8250 -2867.0693 -1018.8518 4.7568 -3471.0361 -2241.3225 8.2750 -4171.9211 -2254.0134 10.5000 -4679.6918 -3008.7520 15.0000 -5385.0682 -3762.3922
90 0.0909 -217.4163 1925.9612 0.3333 -1179.4922 -102.9198 1.1538 -1774.2292 -742.8701 1.4242 -2311.7387 270.3939 1.8750 -2123.5765 650.0473 2.8824 -2775.1004 -832.9748 4.7750 -3453.6962 -2241.3225 8.3611 -4253.4578 -2254.0134 10.6250 -4834.2260 -3008.7520 15.2250 -5448.1330 -3762.3922
91 0.0633 -231.6667 2444.4544 1.0000 -842.1903 -102.9198 0.9000 -1674.6608 -742.8701 1.3030 -1952.0435 270.3939 1.8500 -2616.7989 650.0473 2.9677 -2513.7366 -832.9748 4.1538 -3381.2951 -1794.5783 7.5938 -3886.9391 -2254.0134 10.8750 -4909.2544 -3008.7520 15.5000 -5481.1462 -3762.3922
92 0.0685 -51.0541 1790.9030 0.8889 -2088.4745 -102.9198 0.6667 -1393.4457 -742.8701 1.5161 -2017.8185 270.3939 2.0000 -2261.6668 650.0473 2.3684 -3067.7770 -832.9748 4.1250 -3293.5709 -1794.5783 7.1111 -3787.2766 -2254.0134 11.1250 -5032.2210 -3008.7520 15.8500 -5459.3450 -3762.3922
93 0.0946 -42.3389 1828.8560 1.0000 -2215.2619 -843.8285 0.7273 -1983.9215 -102.9198 1.5652 -2047.4868 -742.8701 2.0750 -2380.2462 650.0473 2.0500 -3277.3539 -832.9748 3.8857 -3231.2311 -1794.5783 7.2250 -3763.8951 -2254.0134 11.2500 -5057.9336 -3008.7520 16.2500 -5512.4325 -4618.9062
94 0.1429 -114.3509 2132.7104 1.0000 -2299.8160 -843.8285 1.0625 -2021.6824 -102.9198 1.5789 -2005.6191 -742.8701 2.1667 -2285.5327 -867.0036 2.4286 -2908.4015 -832.9748 3.6000 -3385.2875 -1794.5783 7.0750 -3812.5836 -2254.0134 11.3500 -5152.0470 -3008.7520 16.5500 -5533.9513 -4774.3236
95 0.0800 -65.1688 2132.7104 1.1667 -1927.3611 -641.8113 1.3846 -2071.6982 -102.9198 1.2222 -2025.0007 -742.8701 2.1176 -2166.1987 -893.1021 2.5250 -2887.3963 -832.9748 3.2368 -3526.5159 -1794.5783 7.5122 -3941.5026 -2363.4584 11.4474 -5301.7479 -3361.6475 16.3810 -5458.5034 -3008.7520
96 0.0897 -45.9181 2203.6544 0.8750 -1966.3017 -641.8113 1.2222 -1821.0843 -102.9198 1.4333 -2126.7621 -742.8701 2.2000 -2172.4604 -893.1021 2.6286 -3061.8670 -832.9748 2.9000 -3794.3623 -1794.5783 7.6176 -3841.1497 -2363.4584 11.5278 -5206.1758 -3361.6475 16.7250 -5458.1997 -3186.8023
97 0.0556 -10.1092 2621.5387 0.7273 -1429.4176 -241.9124 0.8462 -2049.9976 -102.9198 1.5926 -2131.0954 -742.8701 2.0769 -2214.7422 -893.1021 2.9500 -2946.8005 -832.9748 3.3600 -3312.1469 -1794.5783 7.2500 -3901.6310 -2363.4584 11.3913 -4851.7651 -3361.6475 16.8500 -5457.0649 -3186.8023
98 0.0506 -192.7115 2132.7104 1.0000 -912.4856 -241.9124 0.7059 -1753.4166 -102.9198 1.6786 -2229.2449 -742.8701 2.1000 -2337.5709 -893.1021 3.4750 -2870.2324 -832.9748 3.2069 -3467.2523 -1794.5783 7.0488 -3964.3888 -1831.3772 11.3600 -4875.8439 -3361.6475 17.1250 -5387.8503 -3186.8023
99 0.0132 140.4294 2606.8459 0.6250 -917.1871 32.1385 0.9286 -1865.6507 -641.8113 1.3846 -2071.7515 -102.9198 1.9722 -2265.1391 -893.1021 3.4000 -2859.4565 -832.9748 3.7000 -3508.0390 -1794.5783 6.7949 -3999.5561 -1831.3772 11.3704 -4831.3040 -3361.6475 17.1750 -5499.7384 -3714.5986
100 0.0400 68.0053 2606.8459 0.4286 -1625.3995 32.1385 0.8571 -1449.9571 -241.9124 1.0385 -1895.2858 -102.9198 2.1250 -2231.8506 -893.1021 3.4667 -2672.1074 -832.9748 3.9000 -3674.4231 -1794.5783 5.9706 -3981.8647 -2363.4584 11.0000 -4838.5631 -3361.6475 17.2250 -5566.3310 -4403.0708
