update sp0_mean_age sp0_mean_fitness sp0_max_fitness sp1_mean_age sp1_mean_fitness sp1_max_fitness sp2_mean_age sp2_mean_fitness sp2_max_fitness sp3_mean_age sp3_mean_fitness sp3_max_fitness sp4_mean_age sp4_mean_fitness sp4_max_fitness sp5_mean_age sp5_mean_fitness sp5_max_fitness sp6_mean_age sp6_mean_fitness sp6_max_fitness sp7_mean_age sp7_mean_fitness sp7_max_fitness sp8_mean_age sp8_mean_fitness sp8_max_fitness sp9_mean_age sp9_mean_fitness sp9_max_fitness
68 1.2500 -231.2036 2089.9901 9.0000 -620.0516 650.0473 13.7059 -1766.4863 -101.8756 21.2963 -1834.6220 -230.2268 33.6129 -2319.5424 707.0872 52.0500 -2866.8477 -282.9732 83.4231 -3010.3540 -1481.4733 132.5750 -3794.5266 -1833.6711 216.4250 -4304.0170 -3139.3903 590.5500 -5249.3997 -4208.1055
69 1.3636 -140.7046 1777.1071 9.0000 -3681.1267 -3681.1267 12.7000 -1460.5881 650.0473 19.7419 -1809.4773 -101.8756 31.4412 -1927.4043 707.0872 51.6750 -2966.3892 -891.3011 79.4138 -3195.4271 -1993.7811 133.6500 -3646.2183 -1481.4733 208.7429 -4213.9812 -3139.3903 600.6750 -5204.4176 -3634.3591
70 0.7647 38.0694 1777.1071 8.7500 -1561.4284 589.8627 11.8750 -2164.1020 650.0473 19.5625 -1683.4587 -101.8756 30.9500 -1996.8283 707.0872 54.8000 -3100.4684 -891.3011 80.4828 -3223.6137 -1993.7811 134.7778 -3699.7873 -1481.4733 201.8000 -4185.7912 -3139.3903 622.5250 -5238.8586 -3134.6566
71 0.9873 48.0562 2059.3787 8.3333 -676.9589 589.8627 13.6250 -2107.8359 650.0473 20.4688 -1682.0360 -101.8756 31.7750 -2180.6202 -844.5799 54.5862 -2889.2887 -891.3011 78.9500 -3361.4631 -1993.7811 134.5429 -3713.7615 -1481.4733 208.8049 -4251.4907 -2864.2472 631.8750 -5276.4959 -3134.6566
72 1.2375 -137.3032 2400.7084 9.0000 -591.6062 589.8627 12.4444 -1327.6879 650.0473 20.0882 -1883.2285 -101.8756 30.4250 -2262.0622 -844.5799 51.3125 -2742.1182 -891.3011 78.9512 -3366.4434 -2044.6266 136.4571 -3675.4113 -1481.4733 205.3846 -4315.7919 -2864.2472 642.0250 -5350.4110 -4208.1055
73 0.9452 -43.4326 1458.1230 8.1429 -2195.5037 -1978.1512 12.5385 -1101.2012 650.0473 21.1154 -1838.3920 -101.8756 32.5854 -2368.4297 -576.3484 51.5862 -2657.6677 -891.3011 81.1463 -3412.5530 -1959.3671 140.2703 -3678.2141 -1481.4733 215.7750 -4452.7897 -3368.3643 652.1500 -5386.7205 -4592.9642
74 0.9481 -119.6021 2134.4958 7.8333 -1997.3069 -1625.7016 12.8571 -1166.2057 650.0473 21.0769 -1869.5055 -101.8756 31.1471 -2266.5027 -576.3484 47.3611 -2836.5297 -891.3011 80.2000 -3392.1443 -1536.7820 144.4750 -3684.7006 -1481.4733 214.5172 -4403.9157 -3455.2558 660.2250 -5384.6947 -4196.7107
75 0.7101 66.3712 2134.4958 8.1333 -1856.4259 270.3939 12.3333 -1137.4158 589.8627 19.3200 -1557.2927 650.0473 29.6000 -1986.9206 -576.3484 48.9250 -2837.1129 -891.3011 82.1750 -3494.6307 -1536.7820 140.8125 -3642.3209 -1481.4733 193.3226 -4218.4513 -3455.2558 677.3000 -5451.7421 -4196.7107
76 1.1013 -184.9714 2165.4922 8.2857 -1088.5128 270.3939 12.1111 -1750.0628 589.8627 20.7143 -1587.0913 650.0473 30.3429 -2037.5456 -576.3484 50.6500 -3104.0329 -891.3011 84.2750 -3518.6710 -1536.7820 138.5000 -3521.9293 -1481.4733 194.6000 -4189.5713 -3455.2558 689.3500 -5471.9870 -4196.7107
77 1.2895 -208.7583 2165.4922 7.8750 -1211.1484 270.3939 13.0000 -1603.9959 589.8627 20.9310 -1699.6725 650.0473 31.0488 -1974.4812 -230.2268 53.2564 -3098.1609 -891.3011 87.4500 -3563.3742 -1475.6965 135.1154 -3480.9298 -1481.4733 205.4878 -4202.5177 -3268.4968 697.7000 -5491.1534 -4196.7107
78 0.8961 -98.0412 2750.8771 8.3750 -1493.7092 -893.1021 13.0588 -1495.6423 589.8627 20.2857 -1645.4345 650.0473 32.5610 -2076.9679 -101.8756 53.7857 -3004.7799 -891.3011 84.1500 -3529.5812 -1475.6965 128.1429 -3637.6738 -1481.4733 208.0000 -4330.5438 -3268.4968 688.6667 -5388.4183 -4000.7889
79 0.9747 -288.4078 1752.4349 8.0000 -1526.1562 -1126.0341 11.4615 -1470.0542 270.3939 19.7941 -1636.0236 650.0473 31.9429 -1953.5166 -101.8756 49.9211 -2977.8461 -891.3011 86.4359 -3550.3549 -1475.6965 127.3500 -3630.8790 -1481.4733 220.6500 -4304.4553 -2893.9405 710.8250 -5457.4798 -4000.7889
80 0.9744 -172.1381 1752.4349 8.0000 -2409.6238 -1470.8132 12.6000 -1470.2702 270.3939 19.7778 -1576.5926 650.0473 30.9000 -1921.9903 -101.8756 51.3000 -2900.1623 -891.3011 85.7429 -3711.2567 -1536.7820 127.2750 -3704.5571 -1481.4733 220.1000 -4316.8056 -2893.9405 730.5250 -5440.6511 -3762.3922
81 1.3375 -283.2368 1752.4349 9.0000 -2902.6811 -1638.5153 13.4118 -1493.7722 270.3939 20.8276 -1566.8216 650.0473 32.1429 -1975.4620 -726.9765 50.2500 -2967.1703 -891.3011 82.6750 -3649.7948 -1536.7820 122.1892 -3776.8261 -1481.4733 215.6000 -4237.8192 -2690.4420 734.5000 -5430.3925 -3762.3922
82 1.2973 -141.7231 2290.1378 7.5000 -2880.0337 -2018.7034 12.9286 -1615.0755 270.3939 20.5758 -1578.6390 650.0473 31.7632 -1899.7898 -726.9765 50.9000 -2946.9914 -891.3011 83.9000 -3685.6949 -1536.7820 122.5000 -3752.0518 -1481.4733 217.9500 -4219.6656 -2690.4420 743.7250 -5483.6288 -3762.3922
83 0.9859 36.8200 2728.7079 9.0000 -2603.1991 -2018.7034 12.2500 -2088.7159 270.3939 20.0000 -1480.9657 650.0473 32.7500 -2086.9648 -796.0761 53.1500 -3021.2794 -891.3011 83.4412 -3601.0250 -2241.3225 121.4000 -3949.9620 -2698.6283 207.8333 -4263.7016 -2893.9405 741.1463 -5387.3458 -3401.8464
84 0.7297 -137.8105 2728.7079 7.5714 -1730.1769 -742.8701 12.8333 -2484.0956 -893.1021 20.0357 -1491.5445 589.8627 32.0556 -1975.4739 650.0473 47.6176 -2677.0305 -1291.3474 83.5250 -3577.4212 -2241.3225 125.1750 -4010.2623 -2698.6283 201.6333 -4324.1083 -2893.9405 752.1500 -5372.4328 -3401.8464
85 1.1500 -231.5189 2039.5364 8.8000 -1725.1517 -742.8701 13.0588 -2208.7357 -1126.0341 19.7368 -1863.8923 589.8627 31.4054 -1800.2496 650.0473 49.3000 -2699.1924 -1291.3474 83.6000 -3531.0664 -2241.3225 127.4878 -4052.8874 -2254.0134 207.3939 -4330.6285 -2893.9405 778.5500 -5424.6894 -3762.3922
86 1.0000 -60.6580 1800.0844 7.8333 -1586.5957 -742.8701 12.8667 -2085.5290 -1052.4768 20.8250 -2313.2452 589.8627 31.0789 -1747.6285 650.0473 52.1220 -2791.8964 -1018.8518 83.5172 -3438.2274 -2241.3225 130.4500 -4049.4081 -2254.0134 208.2222 -4361.6319 -2893.9405 786.6500 -5376.6647 -3762.3922
87 0.9868 0.1204 2283.3284 8.6667 -1735.0550 -774.5467 12.3846 -1901.0571 -742.8701 19.5862 -2239.4651 270.3939 29.9750 -1725.7823 650.0473 54.0750 -2929.5735 -1018.8518 82.4545 -3357.6350 -2241.3225 134.7500 -4127.1831 -2254.0134 209.5641 -4393.0762 -2893.9405 791.5750 -5381.1721 -3762.3922
88 0.7703 -28.4056 2465.0579 8.8750 -1827.8523 -774.5467 13.4000 -1958.9301 -742.8701 19.5556 -2132.7899 270.3939 31.8250 -1833.9301 650.0473 53.9677 -2899.2648 -1018.8518 83.0750 -3355.0664 -1610.3601 138.6250 -4108.9733 -2254.0134 208.3750 -4559.4811 -3021.2028 796.1000 -5402.3083 -3762.3922
89 1.1875 -178.2428 2134.0743 9.0000 -1659.3667 -1659.3667 12.0833 -1820.2847 -742.8701 19.8500 -2208.4462 270.3939 31.7500 -1783.9802 650.0473 53.6250 -2867.0693 -1018.8518 85.2973 -3471.0361 -2241.3225 145.2750 -4171.9211 -2254.0134 213.9250 -4679.6918 -3008.7520 811.3250 -5385.0682 -3762.3922
90 1.0909 -217.4163 1925.9612 7.6667 -1179.4922 -102.9198 13.3846 -1774.2292 -742.8701 21.0000 -2311.7387 270.3939 31.5500 -2123.5765 650.0473 53.7353 -2775.1004 -832.9748 87.1500 -3453.6962 -2241.3225 148.7222 -4253.4578 -2254.0134 210.5500 -4834.2260 -3008.7520 819.3000 -5448.1330 -3762.3922
91 0.9367 -231.6667 2444.4544 7.5000 -842.1903 -102.9198 12.9000 -1674.6608 -742.8701 20.8788 -1952.0435 270.3939 32.0250 -2616.7989 650.0473 50.9355 -2513.7366 -832.9748 80.7179 -3381.2951 -1794.5783 126.4688 -3886.9391 -2254.0134 213.9500 -4909.2544 -3008.7520 832.4750 -5481.1462 -3762.3922
92 1.0137 -51.0541 1790.9030 7.8889 -2088.4745 -102.9198 12.8333 -1393.4457 -742.8701 20.8065 -2017.8185 270.3939 31.6250 -2261.6668 650.0473 48.0000 -3067.7770 -832.9748 80.1250 -3293.5709 -1794.5783 120.6944 -3787.2766 -2254.0134 221.3500 -5032.2210 -3008.7520 836.8250 -5459.3450 -3762.3922
93 0.9730 -42.3389 1828.8560 8.8889 -2215.2619 -843.8285 11.9091 -1983.9215 -102.9198 20.6087 -2047.4868 -742.8701 32.7500 -2380.2462 650.0473 51.7750 -3277.3539 -832.9748 80.8286 -3231.2311 -1794.5783 122.8750 -3763.8951 -2254.0134 226.2750 -5057.9336 -3008.7520 854.9000 -5512.4325 -4618.9062
94 1.0649 -114.3509 2132.7104 8.3333 -2299.8160 -843.8285 13.0625 -2021.6824 -102.9198 20.0526 -2005.6191 -742.8701 31.3333 -2285.5327 -867.0036 48.3143 -2908.4015 -832.9748 79.0250 -3385.2875 -1794.5783 123.7750 -3812.5836 -2254.0134 232.8750 -5152.0470 -3008.7520 860.6000 -5533.9513 -4774.3236
95 1.0667 -65.1688 2132.7104 7.1667 -1927.3611 -641.8113 12.3077 -2071.6982 -102.9198 19.5926 -2025.0007 -742.8701 31.1176 -2166.1987 -893.1021 50.1000 -2887.3963 -832.9748 80.4737 -3526.5159 -1794.5783 129.0244 -3941.5026 -2363.4584 241.4474 -5301.7479 -3361.6475 843.5714 -5458.5034 -3008.7520
96 1.3077 -45.9181 2203.6544 8.3750 -1966.3017 -641.8113 12.5556 -1821.0843 -102.9198 20.3000 -2126.7621 -742.8701 31.8500 -2172.4604 -893.1021 51.0571 -3061.8670 -832.9748 87.6750 -3794.3623 -1794.5783 131.1765 -3841.1497 -2363.4584 232.9444 -5206.1758 -3361.6475 871.2750 -5458.1997 -3186.8023
97 0.8750 -10.1092 2621.5387 8.7273 -1429.4176 -241.9124 12.4615 -2049.9976 -102.9198 20.9259 -2131.0954 -742.8701 31.4872 -2214.7422 -893.1021 52.2000 -2946.8005 -832.9748 83.3200 -3312.1469 -1794.5783 132.3250 -3901.6310 -2363.4584 221.2174 -4851.7651 -3361.6475 884.8500 -5457.0649 -3186.8023
98 1.2152 -192.7115 2132.7104 8.0000 -912.4856 -241.9124 12.6471 -1753.4166 -102.9198 20.8214 -2229.2449 -742.8701 31.1750 -2337.5709 -893.1021 52.0000 -2870.2324 -832.9748 80.4138 -3467.2523 -1794.5783 136.1951 -3964.3888 -1831.3772 223.4800 -4875.8439 -3361.6475 892.3500 -5387.8503 -3186.8023
99 1.1053 140.4294 2606.8459 8.6250 -917.1871 32.1385 13.1429 -1865.6507 -641.8113 20.3846 -2071.7515 -102.9198 30.0000 -2265.1391 -893.1021 50.1500 -2859.4565 -832.9748 79.1000 -3508.0390 -1794.5783 140.8205 -3999.5561 -1831.3772 223.5556 -4831.3040 -3361.6475 903.3750 -5499.7384 -3714.5986
100 0.8533 68.0053 2606.8459 9.1429 -1625.3995 32.1385 12.1429 -1449.9571 -241.9124 19.7692 -1895.2858 -102.9198 31.2750 -2231.8506 -893.1021 50.5000 -2672.1074 -832.9748 81.7750 -3674.4231 -1794.5783 141.5588 -3981.8647 -2363.4584 215.7500 -4838.5631 -3361.6475 909.9000 -5566.3310 -4403.0708
