update sp0_mean_age sp0_mean_fitness sp0_max_fitness sp1_mean_age sp1_mean_fitness sp1_max_fitness sp2_mean_age sp2_mean_fitness sp2_max_fitness sp3_mean_age sp3_mean_fitness sp3_max_fitness sp4_mean_age sp4_mean_fitness sp4_max_fitness sp5_mean_age sp5_mean_fitness sp5_max_fitness sp6_mean_age sp6_mean_fitness sp6_max_fitness sp7_mean_age sp7_mean_fitness sp7_max_fitness sp8_mean_age sp8_mean_fitness sp8_max_fitness sp9_mean_age sp9_mean_fitness sp9_max_fitness
16 0.9444 -42.5696 1601.0080 7.5556 -2405.2000 -2009.1117 13.7000 -1058.8061 1016.4597 18.5250 -1109.7122 1436.9847 29.8649 -2287.5294 -257.0610 45.0000 -2547.2005 506.8947 76.3000 -2682.4579 -895.6427 81.4750 -3530.9115 296.3275 92.8750 -2321.1923 -1268.4169 131.1250 -3217.5971 -195.8376
17 1.1750 -105.7839 1652.9747 9.0000 -2009.1117 -2009.1117 12.6667 -1673.6080 1016.4597 19.3333 -1144.9740 1356.0129 31.2683 -2303.8920 -191.1943 44.4828 -2486.3197 506.8947 74.3158 -2774.7315 -895.6427 89.2500 -3622.2851 296.3275 110.3750 -2357.4428 -1268.4169 135.0000 -3327.2458 -195.8376
18 0.9865 -315.9177 2220.9951 9.3333 -2983.1008 -568.5427 14.1000 -1795.0480 -734.3384 19.1538 -1048.0173 1356.0129 30.2308 -2047.5496 -191.1943 43.6757 -2661.1540 506.8947 74.6216 -2742.9044 -895.6427 97.0250 -3655.5909 296.3275 118.7750 -2391.9020 -1268.4169 148.1000 -3476.6444 -195.8376
19 1.0260 -168.2636 2220.9951 9.0000 -2755.6078 -568.5427 13.8750 -2543.4096 -734.3384 20.4500 -1237.7854 1356.0129 30.6216 -1937.8049 236.2544 44.2500 -2634.7456 506.8947 74.0256 -2859.6581 -1267.3081 104.5122 -3692.6499 -895.6427 123.1500 -2421.5914 -1268.4169 164.7500 -3674.5827 -195.8376
20 1.1000 -249.7220 2751.3934 0.0000 0.0000 0.0000 11.8571 -2360.2127 -568.5427 19.7037 -1322.6928 1055.1469 30.7250 -1926.7993 236.2544 46.9250 -2872.6236 506.8947 74.9000 -2984.3473 -1313.1986 108.9000 -3747.6493 -895.6427 131.9750 -2438.3972 -1268.4169 177.6000 -3812.7941 -195.8376
21 1.0779 -172.3443 2751.3934 7.0000 -2524.6508 -1947.2122 13.3333 -2631.1918 -568.5427 21.0345 -1346.4055 1055.1469 31.2353 -2019.1778 236.2544 50.0500 -3014.9005 506.8947 78.3000 -3076.9026 -1760.7195 118.4500 -3921.4853 -1942.2930 137.1750 -2537.3454 -1317.8830 194.5500 -3807.4482 -195.8376
22 0.7429 116.7485 3093.0031 9.9231 -2719.0787 -1947.2122 12.6667 -1918.4632 -568.5427 20.5000 -1349.1725 1055.1469 30.0000 -1816.3736 553.0175 52.3500 -3103.5682 506.8947 82.3750 -3181.5645 -1760.7195 126.7500 -3981.8878 -1942.2930 143.9750 -2580.9476 -1724.9843 204.6250 -3848.8857 -195.8376
23 0.9000 -59.9310 2006.3408 8.5000 -2030.7208 -1947.2122 14.5333 -2673.5453 -568.5427 21.4783 -1436.8054 1055.1469 30.0588 -1869.8238 278.2881 55.8250 -3140.2139 506.8947 87.6500 -3281.3254 -1447.2632 130.5750 -4062.6081 -1942.2930 150.8000 -2592.7719 -1724.9843 208.3000 -3880.9663 -195.8376
24 1.4500 -257.5143 2382.0420 9.0000 -2114.2293 -2114.2293 13.4444 -2408.2260 -568.5427 22.6000 -1858.9475 1055.1469 30.8421 -1901.1434 278.2881 55.0714 -2889.3713 506.8947 82.7500 -3267.1636 -1447.2632 126.4500 -4066.4418 -1942.2930 156.7500 -2620.8415 -1724.9843 215.3250 -3927.9905 -195.8376
25 0.8551 -182.5903 2237.7695 8.6364 -1890.2582 318.9471 13.5000 -2239.0766 -568.5427 20.5882 -1901.1242 -734.3384 31.4524 -1949.8021 1055.1469 52.3478 -2628.8699 506.8947 85.7750 -3339.0147 -1447.2632 120.5556 -3692.5270 -1942.2930 158.2750 -2602.6949 -1724.9843 218.6250 -3998.1246 -195.8376
